"Date","Price","Open","High","Low","Vol.","Change %"
"May 11, 2021","90.109","90.260","90.300","89.930","0.38K","-0.07%"
"May 10, 2021","90.170","90.155","90.300","90.005","0.35K","-0.03%"
"May 07, 2021","90.201","90.820","90.925","90.165","0.38K","-0.78%"
"May 06, 2021","90.911","91.235","91.325","90.850","0.18K","-0.39%"
"May 05, 2021","91.263","91.245","91.410","91.145","0.09K","0.02%"
"May 04, 2021","91.247","90.995","91.325","90.990","0.18K","0.38%"
"May 03, 2021","90.905","91.245","91.325","90.835","0.24K","-0.37%"
"Apr 30, 2021","91.244","90.580","91.275","90.565","0.24K","0.74%"
"Apr 29, 2021","90.573","90.510","90.700","90.400","0.13K","0.00%"
"Apr 28, 2021","90.573","90.960","91.070","90.530","0.09K","-0.33%"
"Apr 27, 2021","90.872","90.845","91.000","90.770","0.06K","0.12%"
"Apr 26, 2021","90.760","90.800","90.895","90.650","0.22K","-0.08%"
"Apr 23, 2021","90.829","91.195","91.200","90.785","0.12K","-0.52%"
"Apr 22, 2021","91.306","91.060","91.350","90.970","0.22K","0.21%"
"Apr 21, 2021","91.118","91.200","91.395","91.055","0.12K","-0.10%"
"Apr 20, 2021","91.212","91.020","91.200","90.850","0.37K","0.19%"
"Apr 19, 2021","91.040","91.570","91.700","91.020","0.39K","-0.53%"
"Apr 16, 2021","91.529","91.715","91.770","91.475","0.11K","-0.08%"
"Apr 15, 2021","91.603","91.615","91.725","91.485","0.15K","-0.07%"
"Apr 14, 2021","91.664","91.760","91.780","91.580","0.09K","-0.19%"
"Apr 13, 2021","91.834","92.155","92.360","91.780","0.21K","-0.32%"
"Apr 12, 2021","92.129","92.215","92.320","92.000","0.11K","-0.02%"
"Apr 09, 2021","92.150","92.065","92.385","92.055","0.09K","0.10%"
"Apr 08, 2021","92.054","92.415","92.455","92.000","0.10K","-0.44%"
"Apr 07, 2021","92.457","92.335","92.385","92.165","0.08K","0.13%"
"Apr 06, 2021","92.333","92.530","92.750","92.290","0.11K","-0.27%"
"Apr 05, 2021","92.585","92.960","93.090","92.550","0.23K","-0.48%"
"Apr 02, 2021","93.036","92.880","93.055","92.845","0.04K","0.11%"
"Apr 01, 2021","92.932","93.190","93.325","92.880","0.14K","-0.31%"
"Mar 31, 2021","93.221","93.275","93.430","93.000","0.16K","-0.09%"
"Mar 30, 2021","93.301","92.885","93.335","92.885","0.10K","0.39%"
"Mar 29, 2021","92.936","92.770","92.935","92.730","0.07K","0.20%"
"Mar 26, 2021","92.755","92.835","92.835","92.650","0.10K","-0.05%"
"Mar 25, 2021","92.806","92.605","92.890","92.515","0.11K","0.32%"
"Mar 24, 2021","92.510","92.400","92.600","92.330","0.11K","0.20%"
"Mar 23, 2021","92.328","91.800","92.335","91.800","0.14K","0.66%"
"Mar 22, 2021","91.721","92.065","92.125","91.690","0.18K","-0.20%"
"Mar 19, 2021","91.905","91.905","92.120","91.690","0.15K","0.07%"
"Mar 18, 2021","91.845","91.330","91.900","91.290","0.19K","0.47%"
"Mar 17, 2021","91.413","91.910","91.965","91.350","0.17K","-0.49%"
"Mar 16, 2021","91.860","91.820","92.005","91.675","0.10K","0.03%"
"Mar 15, 2021","91.832","91.655","91.970","91.540","28.21K","0.17%"
"Mar 12, 2021","91.677","91.420","91.960","91.380","29.37K","0.29%"
"Mar 11, 2021","91.415","91.850","91.895","91.340","42.13K","-0.45%"
"Mar 10, 2021","91.828","92.010","92.260","91.775","17.66K","-0.14%"
"Mar 09, 2021","91.960","92.430","92.530","91.915","10.35K","-0.42%"
"Mar 08, 2021","92.344","91.900","92.455","91.850","7.41K","0.39%"
"Mar 05, 2021","91.989","91.690","92.210","91.630","5.90K","0.40%"
"Mar 04, 2021","91.624","91.015","91.675","90.980","1.55K","0.77%"
"Mar 03, 2021","90.927","90.800","91.060","90.620","1.44K","0.16%"
"Mar 02, 2021","90.780","91.075","91.390","90.725","1.76K","-0.26%"
"Mar 01, 2021","91.018","90.925","91.125","90.700","2.07K","0.17%"
"Feb 26, 2021","90.862","90.320","90.955","90.130","1.15K","0.82%"
"Feb 25, 2021","90.120","90.085","90.275","89.655","2.52K","-0.03%"
"Feb 24, 2021","90.145","90.055","90.415","89.945","0.58K","0.00%"
"Feb 23, 2021","90.142","89.985","90.215","89.905","0.35K","0.18%"
"Feb 22, 2021","89.979","90.330","90.550","89.965","0.46K","-0.40%"
"Feb 19, 2021","90.343","90.530","90.630","90.170","0.49K","-0.25%"
"Feb 18, 2021","90.570","90.850","90.965","90.510","0.34K","-0.38%"
"Feb 17, 2021","90.919","90.700","91.020","90.600","0.28K","0.49%"
"Feb 16, 2021","90.473","90.275","90.600","90.080","0.30K","0.04%"
"Feb 15, 2021","90.435","90.300","90.370","90.240","0.05K","0.00%"
"Feb 12, 2021","90.435","90.415","90.680","90.340","0.15K","0.06%"
"Feb 11, 2021","90.378","90.415","90.425","90.215","0.11K","0.06%"
"Feb 10, 2021","90.328","90.450","90.490","90.210","0.21K","-0.08%"
"Feb 09, 2021","90.399","90.875","90.875","90.385","0.26K","-0.54%"
"Feb 08, 2021","90.894","90.930","91.185","90.845","0.55K","-0.12%"
"Feb 05, 2021","91.007","91.485","91.570","90.950","0.36K","-0.53%"
"Feb 04, 2021","91.495","91.075","91.550","91.070","0.21K","0.41%"
"Feb 03, 2021","91.123","91.000","91.250","90.955","0.17K","-0.04%"
"Feb 02, 2021","91.155","90.965","91.260","90.795","0.23K","0.24%"
"Feb 01, 2021","90.940","90.575","91.020","90.465","0.17K","0.44%"
"Jan 29, 2021","90.540","90.610","90.725","90.320","0.21K","0.15%"
"Jan 28, 2021","90.402","90.735","90.795","90.370","0.19K","-0.22%"
"Jan 27, 2021","90.605","90.140","90.830","90.100","0.18K","0.54%"
"Jan 26, 2021","90.118","90.305","90.525","90.070","0.10K","-0.25%"
"Jan 25, 2021","90.343","90.215","90.475","90.040","0.11K","0.18%"
"Jan 22, 2021","90.182","90.065","90.270","90.045","0.23K","0.09%"
"Jan 21, 2021","90.097","90.275","90.315","90.015","0.17K","-0.38%"
"Jan 20, 2021","90.439","90.388","90.690","90.248","-","-0.01%"
"Jan 19, 2021","90.446","90.680","90.725","90.385","0.26K","-0.31%"
"Jan 18, 2021","90.727","90.675","90.910","90.675","0.09K","0.00%"
"Jan 15, 2021","90.727","90.200","90.750","90.200","0.21K","0.60%"
"Jan 14, 2021","90.189","90.225","90.520","90.065","0.14K","-0.14%"
"Jan 13, 2021","90.314","89.980","90.400","89.880","0.14K","0.30%"
"Jan 12, 2021","90.044","90.445","90.550","89.990","0.15K","-0.42%"
"Jan 11, 2021","90.422","90.205","90.670","90.170","0.18K","0.42%"
"Jan 08, 2021","90.048","89.855","90.145","89.620","0.29K","0.31%"
"Jan 07, 2021","89.771","89.345","89.900","89.345","0.13K","0.32%"
"Jan 06, 2021","89.482","89.360","89.750","89.155","0.12K","0.10%"
"Jan 05, 2021","89.389","89.790","89.790","89.375","0.09K","-0.48%"
"Jan 04, 2021","89.819","89.735","89.890","89.380","0.13K","-0.04%"
"Dec 31, 2020","89.859","89.500","89.930","89.500","0.09K","0.27%"
"Dec 30, 2020","89.614","89.868","89.900","89.515","-","-0.30%"
"Dec 29, 2020","89.883","90.100","90.100","89.830","0.04K","-0.40%"
"Dec 28, 2020","90.240","90.100","90.260","89.890","0.07K","0.03%"
"Dec 24, 2020","90.215","90.115","90.225","90.075","0.02K","-0.10%"
"Dec 23, 2020","90.306","90.400","90.460","90.070","0.03K","-0.23%"
"Dec 22, 2020","90.511","90.055","90.550","90.055","0.04K","0.66%"
"Dec 21, 2020","89.914","90.000","90.910","89.970","0.09K","-0.01%"
"Dec 18, 2020","89.920","89.805","89.900","89.770","0.01K","0.24%"
"Dec 17, 2020","89.706","90.050","90.050","89.620","0.23K","-0.69%"
"Dec 16, 2020","90.327","90.330","90.560","90.030","0.05K","-0.05%"
"Dec 15, 2020","90.369","90.550","90.685","90.325","0.02K","-0.32%"
"Dec 14, 2020","90.655","90.730","90.845","90.345","23.43K","-0.30%"
"Dec 11, 2020","90.924","90.670","90.975","90.545","21.50K","0.19%"
"Dec 10, 2020","90.751","91.000","91.080","90.575","27.05K","-0.29%"
"Dec 09, 2020","91.011","90.830","91.120","90.595","14.05K","0.14%"
"Dec 08, 2020","90.880","90.825","90.925","90.660","10.38K","0.20%"
"Dec 07, 2020","90.702","90.675","91.150","90.515","8.92K","0.10%"
"Dec 04, 2020","90.609","90.585","90.780","90.380","7.98K","-0.04%"
"Dec 03, 2020","90.645","91.030","91.030","90.435","1.98K","-0.45%"
"Dec 02, 2020","91.052","91.160","91.430","90.915","1.00K","-0.19%"
"Dec 01, 2020","91.227","91.825","91.835","91.085","1.00K","-0.62%"
"Nov 30, 2020","91.792","91.695","91.955","91.425","0.90K","0.06%"
"Nov 27, 2020","91.741","91.930","91.980","91.690","0.21K","-0.18%"
"Nov 26, 2020","91.906","91.905","92.100","91.785","0.22K","0.00%"
"Nov 25, 2020","91.906","92.118","92.252","91.910","-","-0.28%"
"Nov 24, 2020","92.165","92.445","92.500","92.065","0.42K","-0.29%"
"Nov 23, 2020","92.434","92.325","92.730","91.955","0.35K","0.11%"
"Nov 20, 2020","92.335","92.250","92.350","92.150","0.16K","0.11%"
"Nov 19, 2020","92.234","92.445","92.620","92.190","0.19K","-0.03%"
"Nov 18, 2020","92.261","92.405","92.450","92.150","0.13K","-0.09%"
"Nov 17, 2020","92.348","92.445","92.485","92.200","0.15K","-0.25%"
"Nov 16, 2020","92.580","92.620","92.785","92.400","0.14K","-0.14%"
"Nov 13, 2020","92.708","92.895","92.960","92.670","0.11K","-0.22%"
"Nov 12, 2020","92.915","92.970","93.045","92.730","0.21K","-0.08%"
"Nov 11, 2020","92.994","92.665","93.165","92.600","0.17K","0.31%"
"Nov 10, 2020","92.706","92.715","92.935","92.585","0.16K","0.02%"
