date,Total assets,Total liabilities,Total debt,Receivables,Cash and cash equivalents,Ticker
2008-06-30,996112000.0,287142000.0,374000.0,121833000.0,195405000.0,ANSS
2008-03-31,1018988000.0,341707000.0,48204000.0,135481000.0,200903000.0,ANSS
2007-12-31,969292000.0,328082000.0,60146000.0,115780000.0,167224000.0,ANSS
2007-09-30,928760000.0,315237000.0,75501000.0,108068000.0,150651000.0,ANSS
2007-06-30,906791000.0,327396000.0,98459000.0,96346000.0,137784000.0,ANSS
2007-03-31,903402000.0,349386000.0,114802000.0,104661000.0,117374000.0,ANSS
2006-12-31,878043000.0,343250000.0,123320000.0,89694000.0,104315000.0,ANSS
2006-09-30,854554000.0,336947000.0,148521000.0,69482000.0,101618000.0,ANSS
2006-06-30,868894000.0,365592000.0,170552000.0,76086000.0,102648000.0,ANSS
2006-03-31,325543000.0,81697000.0,0.0,50505000.0,197159000.0,ANSS
2005-12-31,305509000.0,80532000.0,0.0,44199000.0,176166000.0,ANSS
2005-09-30,273018000.0,63982000.0,0.0,37533000.0,164430000.0,ANSS
2005-06-30,262011000.0,65442000.0,0.0,15359000.0,153324000.0,ANSS
2005-03-31,254979000.0,67004000.0,0.0,17592000.0,69906000.0,ANSS
2004-12-31,239646000.0,64177000.0,0.0,18792000.0,83547000.0,ANSS
2004-09-30,212879000.0,54231000.0,0.0,14716000.0,114280000.0,ANSS
2004-06-30,202676000.0,55839000.0,0.0,16652000.0,89267000.0,ANSS
2004-03-31,193456000.0,56376000.0,0.0,18653000.0,91295000.0,ANSS
2003-12-31,179346000.0,52272000.0,0.0,36234000.0,78038000.0,ANSS
2003-09-30,162445000.0,45244000.0,0.0,16034000.0,67281000.0,ANSS
2003-06-30,155682000.0,47177000.0,0.0,16035000.0,47852000.0,ANSS
2003-03-31,147333000.0,49893000.0,0.0,18878000.0,36849000.0,ANSS
2022-03-26,350662000000.0,283263000000.0,119981000000.0,45400000000.0,28098000000.0,AAPL
2021-12-25,381191000000.0,309259000000.0,122798000000.0,65253000000.0,37119000000.0,AAPL
2021-09-25,351002000000.0,287912000000.0,124719000000.0,51506000000.0,34940000000.0,AAPL
2021-06-26,329840000000.0,265560000000.0,121791000000.0,33908000000.0,34050000000.0,AAPL
2021-03-27,337158000000.0,267980000000.0,121645000000.0,33036000000.0,38466000000.0,AAPL
2020-12-26,354054000000.0,287830000000.0,112043000000.0,58620000000.0,36010000000.0,AAPL
2020-09-26,323888000000.0,258549000000.0,112436000000.0,37445000000.0,38016000000.0,AAPL
